gcm,member,experiment,warming_level,start_year,end_year
CanESM5,r1i1p2f1,ssp126,1.5,1995,2024
CanESM5,r1i1p2f1,ssp126,2.0,2007,2036
CanESM5,r1i1p2f1,ssp126,3.0,,
CanESM5,r1i1p2f1,ssp245,1.5,1994,2023
CanESM5,r1i1p2f1,ssp245,2.0,2006,2035
CanESM5,r1i1p2f1,ssp245,3.0,2030,2059
CanESM5,r1i1p2f1,ssp370,1.5,1994,2023
CanESM5,r1i1p2f1,ssp370,2.0,2005,2034
CanESM5,r1i1p2f1,ssp370,3.0,2025,2054
CanESM5,r1i1p2f1,ssp585,1.5,1994,2023
CanESM5,r1i1p2f1,ssp585,2.0,2005,2034
CanESM5,r1i1p2f1,ssp585,3.0,2023,2052
MPI-ESM1-2-LR,r1i1p1f1,ssp126,1.5,2028,2057
MPI-ESM1-2-LR,r1i1p1f1,ssp126,2.0,,
MPI-ESM1-2-LR,r1i1p1f1,ssp126,3.0,,
MPI-ESM1-2-LR,r1i1p1f1,ssp245,1.5,2021,2050
MPI-ESM1-2-LR,r1i1p1f1,ssp245,2.0,2045,2074
MPI-ESM1-2-LR,r1i1p1f1,ssp245,3.0,,
MPI-ESM1-2-LR,r1i1p1f1,ssp370,1.5,2021,2050
MPI-ESM1-2-LR,r1i1p1f1,ssp370,2.0,2038,2067
MPI-ESM1-2-LR,r1i1p1f1,ssp370,3.0,2065,2094
MPI-ESM1-2-LR,r2i1p1f1,ssp370,1.5,2020,2049
MPI-ESM1-2-LR,r2i1p1f1,ssp370,2.0,2036,2065
MPI-ESM1-2-LR,r2i1p1f1,ssp370,3.0,2068,2097
MPI-ESM1-2-LR,r3i1p1f1,ssp370,1.5,2020,2049
MPI-ESM1-2-LR,r3i1p1f1,ssp370,2.0,2036,2065
MPI-ESM1-2-LR,r3i1p1f1,ssp370,3.0,2066,2095
MPI-ESM1-2-LR,r4i1p1f1,ssp370,1.5,2018,2047
MPI-ESM1-2-LR,r4i1p1f1,ssp370,2.0,2037,2066
MPI-ESM1-2-LR,r4i1p1f1,ssp370,3.0,2066,2095
MPI-ESM1-2-LR,r5i1p1f1,ssp370,1.5,2020,2049
MPI-ESM1-2-LR,r5i1p1f1,ssp370,2.0,2037,2066
MPI-ESM1-2-LR,r5i1p1f1,ssp370,3.0,2065,2094
CNRM-ESM2-1,r1i1p1f2,ssp126,1.5,2032,2061
CNRM-ESM2-1,r1i1p1f2,ssp126,2.0,,
CNRM-ESM2-1,r1i1p1f2,ssp126,3.0,,
CNRM-ESM2-1,r1i1p1f2,ssp245,1.5,2022,2051
CNRM-ESM2-1,r1i1p1f2,ssp245,2.0,2042,2071
CNRM-ESM2-1,r1i1p1f2,ssp245,3.0,,
CNRM-ESM2-1,r1i1p1f2,ssp370,1.5,2022,2051
CNRM-ESM2-1,r1i1p1f2,ssp370,2.0,2037,2066
CNRM-ESM2-1,r1i1p1f2,ssp370,3.0,2058,2087
NorESM2-MM,r1i1p1f1,ssp245,1.5,2034,2063
NorESM2-MM,r1i1p1f1,ssp245,2.0,2067,2096
NorESM2-MM,r1i1p1f1,ssp245,3.0,,
NorESM2-MM,r1i1p1f1,ssp126,1.5,,
NorESM2-MM,r1i1p1f1,ssp126,2.0,,
NorESM2-MM,r1i1p1f1,ssp126,3.0,,
NorESM2-MM,r1i1p1f1,ssp370,1.5,2033,2062
NorESM2-MM,r1i1p1f1,ssp370,2.0,2048,2077
NorESM2-MM,r1i1p1f1,ssp370,3.0,,
